Time,Distance (m),Angle (rad)
1723989801.7307289,0.6840000152587891,6.213372088968754
1723989801.9294505,0.640999972820282,6.19591879658401
1723989802.1298673,0.6710000038146973,6.19591879658401
1723989802.3317087,0.703000009059906,6.2308253813534975
1723989802.5318844,0.6840000152587891,6.213372088968754
1723989802.7316203,0.6990000009536743,6.19591879658401
1723989802.9316416,0.6449999809265137,6.248278673738241
1723989803.1331806,0.6869999766349792,6.213372088968754
1723989803.3340414,0.6600000262260437,6.19591879658401
1723989803.5359018,0.6269999742507935,6.19591879658401
1723989803.7355144,0.7070000171661377,6.2308253813534975
1723989803.9360516,0.6919999718666077,6.213372088968754
1723989804.1363592,0.6990000009536743,6.213372088968754
1723989804.3373783,0.6980000138282776,6.2308253813534975
1723989804.5388076,0.675000011920929,6.19591879658401
1723989804.7380574,0.6899999976158142,6.248278673738241
1723989804.9382348,0.6309999823570251,6.19591879658401
1723989805.1398003,0.6639999747276306,6.19591879658401
1723989805.3397508,0.6690000295639038,6.213372088968754
1723989805.5396023,0.6520000100135803,6.19591879658401
1723989805.7397058,0.7070000171661377,6.161012211814523
1723989805.941101,0.6570000052452087,6.178465504199266
1723989806.1436481,0.7639999985694885,6.091199042275548
1723989806.542305,0.7850000262260437,6.0039325803518295
1723989806.7427933,0.7570000290870667,5.986479287967086
1723989806.9464784,0.7620000243186951,5.9515727031975985
1723989807.34524,0.6869999766349792,5.916666118428111
1723989807.5454712,0.7559999823570251,5.829399656504393
1723989807.947063,0.7910000085830688,5.7770397793501616
1723989808.1470718,0.7960000038146973,5.7770397793501616
1723989808.3485553,0.781000018119812,5.7246799021959305
1723989808.5493336,0.6669999957084656,5.742133194580674
1723989808.750096,0.7799999713897705,5.707226609811187
1723989809.3513052,0.7319999933242798,5.602506855502725
1723989809.7532573,0.7689999938011169,5.585053563117981
1723989809.9544559,0.7670000195503235,5.585053563117981
1723989810.1547186,0.7540000081062317,5.567600270733237
1723989810.3557847,0.6990000009536743,5.53269368596375
1723989810.5561645,0.7509999871253967,5.53269368596375
1723989810.7575984,0.7609999775886536,5.53269368596375
1723989810.95716,0.7540000081062317,5.53269368596375
1723989811.1594543,0.7580000162124634,5.53269368596375
1723989811.3587778,0.7450000047683716,5.550146978348494
1723989811.5590448,0.7099999785423279,5.515240393579006
1723989811.760426,0.6299999952316284,5.4977871011942625
1723989811.9608018,0.6890000104904175,5.53269368596375
1723989812.1618474,0.7170000076293945,5.550146978348494
1723989812.3618634,0.7630000114440918,5.4977871011942625
1723989812.5634136,0.7089999914169312,5.550146978348494
1723989812.763391,0.628000020980835,5.53269368596375
1723989812.9647088,0.7229999899864197,5.585053563117981
1723989813.1646466,0.7369999885559082,5.567600270733237
1723989813.3659341,0.7110000252723694,5.585053563117981
1723989813.5662231,0.6759999990463257,5.637413440272212
1723989813.767366,0.7450000047683716,5.602506855502725
1723989813.9679446,0.7490000128746033,5.619960147887468
1723989814.168002,0.7630000114440918,5.689773317426443
1723989814.3694403,0.7110000252723694,5.654866732656956
1723989814.5703247,0.7229999899864197,5.742133194580674
1723989814.7707813,0.7390000224113464,5.707226609811187
1723989814.9707663,0.6949999928474426,5.7770397793501616
1723989815.1728954,0.7799999713897705,5.759586486965418
1723989815.7746935,0.7940000295639038,3.9269907865673304
1723989815.9741013,0.7680000066757202,3.8571776170283556
1723989816.1758273,0.7630000114440918,3.822271032258868
1723989816.3755288,0.746999979019165,5.934119410812855
1723989816.5768473,0.6940000057220459,5.969025995582342
1723989816.7770064,0.7110000252723694,4.06661712564528
1723989816.9807682,0.7089999914169312,4.0317105408757925
1723989817.3794162,0.675000011920929,4.136430295184255
1723989817.5800087,0.625,3.944444078952074
1723989817.7807944,0.6480000019073486,3.839724324643612
1723989817.980891,0.6549999713897705,4.468042850494385
1723989818.1828396,0.6710000038146973,4.206243464723229
1723989818.3824463,0.6610000133514404,4.276056634262204
1723989818.5837033,0.6539999842643738,4.293509926646948
1723989818.7839897,0.6460000276565552,4.3109632190316916
1723989818.985283,0.640999972820282,4.380776388570666
1723989819.185854,0.6340000033378601,4.3109632190316916
1723989819.3868666,0.6309999823570251,4.415682973340154
1723989819.5870092,0.625,4.4854961428791285
1723989819.788171,0.6150000095367432,4.502949435263872
1723989819.9883914,0.6150000095367432,4.520402727648616
1723989820.188355,0.6129999756813049,4.607669189572334
1723989820.3896956,0.6119999885559082,4.590215897187591
1723989820.5894806,0.6119999885559082,4.607669189572334
1723989820.7908123,0.6119999885559082,4.642575774341822
1723989820.992606,0.6140000224113464,4.86946857534349
1723989821.192819,0.609000027179718,4.7647488210350275
1723989821.3927166,0.6150000095367432,4.817108698189259
1723989821.5946617,0.6159999966621399,4.852015282958746
1723989821.795486,0.6159999966621399,4.852015282958746
1723989821.9954011,0.6230000257492065,4.921828452497721
1723989822.1967762,0.6269999742507935,4.956735037267208
1723989822.3982322,0.6349999904632568,5.009094914421439
1723989822.598353,0.6460000276565552,4.974188329651952
1723989822.800145,0.6520000100135803,5.06145479157567
1723989822.9997108,0.6539999842643738,5.078908083960414
1723989823.200883,0.6629999876022339,5.166174545884132
1723989823.4010193,0.6449999809265137,5.480333808809519
1723989823.604675,0.6690000295639038,4.974188329651952
1723989824.0034485,0.6589999794960022,5.410520639270544
1723989824.2031004,0.6499999761581421,0.8028514496982098
1723989824.4075203,0.6639999747276306,5.480333808809519
1723989824.6046817,0.6990000009536743,5.427973931655288
1723989824.8064423,0.7080000042915344,5.305800884962082
1723989825.0066586,0.7049999833106995,0.8726646192371845
1723989825.2080567,0.6660000085830688,0.8552113268524408
1723989825.4080667,0.6980000138282776,0.8726646192371845
1723989825.6104565,0.6919999718666077,0.8726646192371845
1723989825.8098598,0.6549999713897705,0.8552113268524408
1723989826.01061,0.7260000109672546,0.8726646192371845
1723989826.2126143,0.6610000133514404,0.8726646192371845
1723989826.4124093,0.6669999957084656,0.8552113268524408
1723989826.6132298,0.718999981880188,0.8203047420829535
1723989826.813855,0.6299999952316284,0.8203047420829535
1723989827.0134223,0.7139999866485596,0.8028514496982098
1723989827.2150075,0.6370000243186951,0.8028514496982098
1723989827.414939,0.671999990940094,0.7853981573134661
1723989827.618237,0.7310000061988831,0.7853981573134661
1723989828.017232,0.734000027179718,0.733038280159235
1723989828.2170384,0.7440000176429749,0.733038280159235
1723989828.4182858,0.7279999852180481,0.6806784030050039
1723989828.6198063,0.6710000038146973,0.7155849877744913
1723989828.8202305,0.7440000176429749,0.6632251106202602
1723989829.0199418,0.6919999718666077,0.6283185258507729
1723989829.2215836,0.7279999852180481,0.6457718182355165
1723989829.4212577,0.6800000071525574,0.6108652334660292
1723989829.6224844,0.734000027179718,0.5410520639270544
1723989829.8226388,0.7549999952316284,0.5235987715423107
1723989830.022644,0.7490000128746033,0.48869218677282333
1723989830.2240734,0.7670000195503235,0.45378560200333595
1723989830.4260452,0.7409999966621399,0.43633230961859226
1723989830.6250682,0.7879999876022339,0.3839724324643612
1723989830.8265355,0.7960000038146973,0.3490658476948738
1723989831.027041,0.7929999828338623,0.29670597054064274
1723989831.2279215,0.746999979019165,0.29670597054064274
1723989831.429564,0.7620000243186951,0.24434609338641167
1723989832.2314851,0.7950000166893005,0.10471975430846214
1723989832.4328706,0.6710000038146973,0.06981316953897476
1723989832.633051,0.7110000252723694,0.03490658476948738
1723989833.4360213,0.7620000243186951,6.248278673738241
1723989833.837531,0.7860000133514404,6.143558919429779
1723989834.0385807,0.7839999794960022,6.108652334660292
1723989835.2416382,0.7369999885559082,5.899212826043367
1723989835.6433709,0.75,5.7770397793501616
1723989835.8444917,0.7549999952316284,5.742133194580674
1723989836.046039,0.6800000071525574,5.707226609811187
1723989836.2457185,0.7639999985694885,5.689773317426443
1723989836.4457912,0.7749999761581421,5.654866732656956
1723989836.6469688,0.781000018119812,5.637413440272212
1723989836.8485293,0.7850000262260437,5.619960147887468
1723989837.0483665,0.7580000162124634,5.550146978348494
1723989837.2495859,0.7239999771118164,5.567600270733237
1723989837.4494877,0.7639999985694885,5.4977871011942625
1723989837.65175,0.7549999952316284,5.515240393579006
1723989837.8512285,0.7409999966621399,5.445427224040031
1723989838.0525634,0.7210000157356262,5.462880516424775
1723989838.252225,0.7360000014305115,2.4609142262488604
1723989838.4537785,0.703000009059906,5.3930673468858
1723989838.6537085,0.6930000185966492,2.3911010567098856
1723989838.855134,0.6729999780654907,2.321287887170911
1723989839.0557299,0.6600000262260437,2.1293016709387302
