time,x,y,z
13.104,-1.2842817550185424e-05,5.622149249149801e-06,-0.0010017012191930186
13.138,-1.2845169748489614e-05,5.63620851614283e-06,-0.0010017012192431937
13.171,-1.2847521959564404e-05,5.650267839142644e-06,-0.001001701219293421
13.204,-1.2849945463135407e-05,5.6647532609054755e-06,-0.00100170121934514
13.237,-1.2852297700152119e-05,5.67881269770176e-06,-0.0010017012193953602
13.27,-1.285464994995461e-05,5.692872190586923e-06,-0.001001701219445563
13.304,-1.2857073493409941e-05,5.707357787289622e-06,-0.0010017012194972995
13.337,-1.2859425769156524e-05,5.721417393991587e-06,-0.0010017012195474954
13.37,-1.2861778057671105e-05,5.735477056679053e-06,-0.0010017012195977087
13.404,-1.2864201641025943e-05,5.7499628284177535e-06,-0.0010017012196494451
13.437,-1.2866553955484614e-05,5.764022604907205e-06,-0.0010017012196996515
13.47,-1.2868906282721693e-05,5.778082437454397e-06,-0.0010017012197498718
13.504,-1.287132990596563e-05,5.7925683841367585e-06,-0.0010017012198015943
13.536,-1.2873682259151569e-05,5.8066283305203456e-06,-0.001001701219851811
13.57,-1.2876034625107675e-05,5.820688332904917e-06,-0.0010017012199020313
13.604,-1.2878458288253722e-05,5.835174454642182e-06,-0.0010017012199537538
13.637,-1.2880810680153919e-05,5.849234570824654e-06,-0.001001701220003981
13.67,-1.2883163084840329e-05,5.863294743116893e-06,-0.0010017012200541804
13.704,-1.2885586787878944e-05,5.877781039812378e-06,-0.0010017012201059203
13.737,-1.2887939218511613e-05,5.8918413259134886e-06,-0.0010017012201561266
13.77,-1.2890291661920086e-05,5.905901668036149e-06,-0.0010017012202063469
13.8,-1.2892715404858642e-05,5.920388139778255e-06,-0.0010017012202580867
13.837,-1.2895067874210773e-05,5.934448595696916e-06,-0.0010017012203083105
13.87,-1.289742035634478e-05,5.948509107690857e-06,-0.0010017012203585203
13.904,-1.2899844139174603e-05,5.962995754393347e-06,-0.0010017012204102775
13.937,-1.2902196647250532e-05,5.977056380178177e-06,-0.0010017012204604873
13.97,-1.2904549168104e-05,5.9911170620025245e-06,-0.001001701220510711
14.004,-1.2906972990835066e-05,6.00560388373314e-06,-0.0010017012205624405
14.037,-1.2909325537637396e-05,6.019664679367071e-06,-0.0010017012206126642
14.07,-1.291167809721553e-05,6.033725531046183e-06,-0.0010017012206628845
14.103,-1.2914101959843934e-05,6.048212527773996e-06,-0.0010017012207146278
14.137,-1.291645454536746e-05,6.062273493252375e-06,-0.001001701220764848
14.17,-1.291880714367373e-05,6.076334514810945e-06,-0.0010017012208150787
14.204,-1.2921231046199907e-05,6.0908216865298685e-06,-0.001001701220866815
14.237,-1.2923583670455905e-05,6.104882821910366e-06,-0.0010017012209170353
14.27,-1.2925936307482937e-05,6.11894401330353e-06,-0.0010017012209672695
14.304,-1.292836024991903e-05,6.133431360081561e-06,-0.0010017012210190024
14.337,-1.2930712912895357e-05,6.1474926652846005e-06,-0.0010017012210692157
14.37,-1.2933065588658765e-05,6.161554026595356e-06,-0.0010017012211194463
14.404,-1.2935489570986558e-05,6.176041548340953e-06,-0.0010017012211711862
14.437,0.00043723273259586425,6.306831224347641e-06,-0.0010013448589295225
14.47,0.0017649229707411512,6.393473652679127e-06,-0.0010013934985772174
14.504,0.004052441174527546,6.4813132699667296e-06,-0.0010014898362324352
14.537,0.007128987024692156,6.613393084397832e-06,-0.0010018392345451724
14.57,0.01043147737894893,6.88231490942889e-06,-0.0010017902763978966
14.604,0.013834659638213698,7.17847767731357e-06,-0.0010018278971359214
14.637,0.017138412660356837,7.444427603651942e-06,-0.0010018739821522904
14.67,0.020442807318394252,7.683746945088456e-06,-0.0010019317688653231
14.704,0.023847967804657862,7.897867279772354e-06,-0.0010020056598453314
14.737,0.027153411064066907,8.069185725266975e-06,-0.0010020859405059507
14.77,0.030458686172966033,8.20298788847944e-06,-0.001002149178458079
14.804,0.03386358269100459,8.313227864112307e-06,-0.0010022099428793271
14.837,0.03716758635947701,8.401708224638923e-06,-0.0010022697465245957
14.87,0.04047057705714554,8.489361825038689e-06,-0.001002334790302685
14.904,0.04387201738475813,8.586626426497072e-06,-0.0010024248849130751
14.937,0.047168622816189935,8.542277519413448e-06,-0.0010025852932016265
14.97,0.05043887595559313,7.954299031005068e-06,-0.0010022991212190954
15.004,0.05378238458724649,8.725198349196475e-06,-0.0010013717141424995
15.037,0.05707821567127594,8.770358120372911e-06,-0.001002327605224198
15.07,0.06037334566788448,8.994997480839328e-06,-0.0010021399344188817
15.104,0.06376853929967204,9.221531174991784e-06,-0.0010020490828670028
15.137,0.06706365350151124,9.42326549555861e-06,-0.0010020208273643812
15.17,0.07035864311753322,9.591111007115035e-06,-0.0010019661457068597
