Time,Distance (m),Angle (rad)
22.772,0.5606560111045837,3.1153421737253666
22.972,0.5497307777404785,3.150346018373966
23.172,0.5429779291152954,3.097840251401067
23.372,0.5403692722320557,3.150346018373966
23.572,0.5364694595336914,3.150346018373966
23.772,0.5515725612640381,3.1153421737253666
23.972,0.5536763072013855,3.167847940698266
24.173,0.5638936161994934,3.150346018373966
24.372,0.5679931044578552,3.1328440960496664
24.572,0.5707160830497742,3.1153421737253666
24.772,0.5616309642791748,3.1328440960496664
24.972,0.5638725757598877,3.185349863022566
25.172,0.5658174157142639,3.150346018373966
25.372,0.5650539398193359,3.185349863022566
25.572,0.5730582475662231,3.1328440960496664
25.772,0.5703945159912109,3.2028517853468657
25.973,0.5654866695404053,3.1153421737253666
26.172,0.5753083229064941,3.185349863022566
26.372,0.5796939730644226,3.1328440960496664
26.572,0.5701343417167664,3.1328440960496664
26.772,0.5695168375968933,3.167847940698266
26.974,0.556403398513794,3.167847940698266
27.172,0.5799605846405029,3.167847940698266
27.372,0.5693049430847168,3.1153421737253666
27.572,0.5710918307304382,3.150346018373966
27.772,0.5767648220062256,3.1328440960496664
27.972,0.5652260184288025,3.1153421737253666
28.172,0.5747606754302979,3.1328440960496664
28.372,0.5813815593719482,3.1153421737253666
28.572,0.560714840888977,3.1153421737253666
28.772,0.5723184943199158,3.1328440960496664
28.972,0.5776512622833252,3.1328440960496664
29.172,0.5835503935813904,3.1153421737253666
29.372,0.562990128993988,3.167847940698266
29.572,0.5688222050666809,3.1328440960496664
29.772,0.5651142001152039,3.150346018373966
29.972,0.5757778882980347,3.1328440960496664
30.172,0.5606098771095276,3.1153421737253666
30.372,0.5652522444725037,3.1153421737253666
30.572,0.5690734386444092,3.150346018373966
30.772,0.5679493546485901,3.1328440960496664
30.972,0.5648192763328552,3.185349863022566
31.172,0.565250813961029,3.097840251401067
31.372,0.5611047148704529,3.150346018373966
31.572,0.5776900053024292,3.185349863022566
31.772,0.5784307718276978,3.167847940698266
31.972,0.5657573342323303,3.167847940698266
32.172,0.5712787508964539,3.1153421737253666
32.372,0.5692542195320129,3.1153421737253666
32.572,0.5704839825630188,3.167847940698266
32.772,0.5733367800712585,3.150346018373966
32.972,0.5618147850036621,3.167847940698266
33.172,0.5720134973526001,3.1153421737253666
33.372,0.5763025879859924,3.150346018373966
33.572,0.5623037219047546,3.1328440960496664
33.773,0.575181245803833,3.185349863022566
33.972,0.5742543339729309,3.167847940698266
34.172,0.5563582181930542,3.167847940698266
34.372,0.5625821948051453,3.167847940698266
34.572,0.5709236264228821,3.185349863022566
34.772,0.580906093120575,3.1328440960496664
34.972,0.5752524137496948,3.2028517853468657
35.172,0.5784291625022888,3.185349863022566
35.372,0.5673304200172424,3.2028517853468657
35.572,0.5641663670539856,3.167847940698266
35.772,0.5819921493530273,3.167847940698266
35.972,0.5754606127738953,3.1153421737253666
36.172,0.5734574198722839,3.2028517853468657
36.372,0.5656514763832092,3.167847940698266
36.572,0.5635059475898743,3.185349863022566
36.772,0.5788537263870239,3.167847940698266
36.972,0.5783776044845581,3.2028517853468657
37.172,0.5707221627235413,3.167847940698266
37.372,0.5777976512908936,3.097840251401067
37.572,0.5738314986228943,3.185349863022566
37.772,0.5719594955444336,3.1153421737253666
37.972,0.5825720429420471,3.1153421737253666
38.172,0.5780664682388306,3.1328440960496664
38.372,0.5759175419807434,3.1328440960496664
38.572,0.571087121963501,3.185349863022566
38.772,0.565780758857727,3.1153421737253666
38.972,0.5678189992904663,3.150346018373966
39.172,0.5680514574050903,3.1328440960496664
39.371,0.5674203634262085,3.167847940698266
39.572,0.5656636953353882,3.167847940698266
39.772,0.5680167078971863,3.1328440960496664
39.972,0.5790393352508545,3.1153421737253666
40.172,0.5608895421028137,3.150346018373966
40.372,0.5630221366882324,3.185349863022566
40.571,0.5695759057998657,3.1153421737253666
40.773,0.5650882720947266,3.1328440960496664
40.971,0.5749006271362305,3.1328440960496664
41.172,0.5734184980392456,3.1328440960496664
41.372,0.5682966113090515,3.1153421737253666
41.572,0.5726733207702637,3.150346018373966
41.771,0.5673515200614929,3.1328440960496664
41.972,0.5775018930435181,3.150346018373966
42.172,0.5661609172821045,3.150346018373966
42.372,0.572433352470398,3.1328440960496664
42.572,0.5648491978645325,3.097840251401067
