time,x,y,z
19.806,-0.7000211753400308,1.131574463579424e-05,-0.0010013929463733202
19.839,-0.7000211785582298,1.1334681743518877e-05,-0.0010013929464019293
19.872,-0.7000211817764421,1.135361889322202e-05,-0.0010013929464305557
19.906,-0.7000211850921904,1.137312993972516e-05,-0.0010013929464600287
19.939,-0.70002118831043,1.1392067174619757e-05,-0.0010013929464886585
19.972,-0.7000211915286836,1.1411004451392186e-05,-0.0010013929465172607
20.006,-0.7000211948444739,1.1430515628955847e-05,-0.0010013929465467544
20.039,-0.7000211980627545,1.1449452990918225e-05,-0.0010013929465753843
20.072,-0.7000212012810488,1.1468390394825456e-05,-0.0010013929466040038
20.106,-0.7000212045968814,1.1487901703302532e-05,-0.0010013929466334871
20.139,-0.700021207815203,1.1506839192411702e-05,-0.00100139294666211
20.172,-0.7000212110335383,1.1525776723417501e-05,-0.001001392946690726
20.206,-0.7000212143494129,1.154528816289896e-05,-0.0010013929467202198
20.239,-0.7000212175677757,1.1564225779055506e-05,-0.0010013929467488358
20.272,-0.7000212207861518,1.1583163437201583e-05,-0.0010013929467774657
20.306,-0.7000212241020686,1.1602675007614326e-05,-0.0010013929468069421
20.339,-0.7000212273204723,1.1621612750943702e-05,-0.001001392946835572
20.373,-0.7000212305388894,1.1640550536188769e-05,-0.001001392946864195
20.405,-0.7000212338548485,1.1660062237597083e-05,-0.0010013929468936783
20.44,-0.7000212370732932,1.1679000108032337e-05,-0.0010013929469223116
20.472,-0.7000212402917512,1.1697938020400508e-05,-0.0010013929469509276
20.506,-0.7000212436077525,1.1717449852776886e-05,-0.0010013929469804145
20.54,-0.7000212468262381,1.1736387850333402e-05,-0.0010013929470090374
20.572,-0.700021250044737,1.1755325889798051e-05,-0.0010013929470376673
20.606,-0.7000212533607806,1.1774837853127284e-05,-0.001001392947067161
20.639,-0.700021256579307,1.1793775977774843e-05,-0.001001392947095784
20.672,-0.700021259797847,1.1812714144389046e-05,-0.0010013929471244035
20.706,-0.7000212631139326,1.183222623872029e-05,-0.0010013929471538938
20.739,-0.7000212663324998,1.185116449047291e-05,-0.0010013929471825236
20.772,-0.7000212695510808,1.1870102784208455e-05,-0.0010013929472111605
20.806,-0.7000212728672086,1.188961500950733e-05,-0.0010013929472406403
20.84,-0.7000212760858168,1.1908553388390493e-05,-0.0010013929472692633
20.872,-0.7000212793044388,1.1927491809248623e-05,-0.0010013929472978932
20.906,-0.7000212826206088,1.1947004165511204e-05,-0.001001392947327387
20.939,-0.700021285839258,1.1965942671550121e-05,-0.0010013929473560168
20.973,-0.7000212890579209,1.1984881219530248e-05,-0.0010013929473846432
21.006,-0.700021292374133,1.200439370674287e-05,-0.001001392947414137
21.039,-0.7000212955928232,1.2023332339873005e-05,-0.0010013929474427634
21.072,-0.700021298811527,1.2042271014983305e-05,-0.0010013929474713933
21.106,-0.7000213021277815,1.2061783633210351e-05,-0.001001392947500887
21.139,-0.7000213053465127,1.2080722393484248e-05,-0.0010013929475295238
21.171,-0.7000213085652573,1.2099661195701145e-05,-0.0010013929475581503
21.206,-0.7000213118815539,1.2119173944886937e-05,-0.0010013929475876406
21.239,-0.7000213151003262,1.213811283228956e-05,-0.0010013929476162635
21.272,-0.7000213183191117,1.2157051761651454e-05,-0.0010013929476448968
21.306,-0.7000213216354505,1.217656464186247e-05,-0.001001392947674401
21.339,-0.7000213248542637,1.2195503656363099e-05,-0.0010013929477030309
21.372,-0.7000213280730901,1.2214442712898086e-05,-0.0010013929477316677
