Time,Distance (m),Angle (rad)
66.953,0.6140857338905334,3.167847940698266
67.153,0.6237391233444214,3.097840251401067
67.353,0.6263355016708374,3.1328440960496664
67.554,0.6148050427436829,3.167847940698266
67.754,0.6215692162513733,3.1328440960496664
67.953,0.6224502325057983,3.1328440960496664
68.153,0.6280077695846558,3.1328440960496664
68.357,0.6214979290962219,3.1328440960496664
68.557,0.6293076276779175,3.150346018373966
68.757,0.6225895881652832,3.167847940698266
68.958,0.6191189885139465,3.167847940698266
69.156,0.6290799379348755,3.1153421737253666
69.357,0.6213592886924744,3.167847940698266
69.562,0.5790848731994629,3.167847940698266
69.762,0.5584015250205994,3.1328440960496664
69.962,0.5432595610618591,3.185349863022566
70.162,0.5345232486724854,3.097840251401067
70.362,0.5265354514122009,3.097840251401067
70.562,0.5358543395996094,3.0453344844281673
70.764,0.5426031947135925,3.0453344844281673
70.962,0.5526267290115356,3.0103306397795677
71.162,0.5604989528656006,2.975326795130968
71.362,0.559440016746521,2.905319105833769
71.563,0.5495598912239075,2.9403229504823685
71.762,0.5675039291381836,2.8353114165365696
71.963,0.5629482865333557,2.8528133388608694
72.158,0.5536933541297913,2.81780949421227
72.363,0.570010244846344,2.7653037272393703
72.562,0.5685917139053345,2.695296037942171
72.762,0.5644615292549133,2.712797960266471
72.962,0.5501294732093811,2.695296037942171
73.162,0.5667489767074585,2.695296037942171
73.363,0.5555301308631897,2.6602921932935715
73.562,0.5519781112670898,2.607786426320672
73.762,0.5517539381980896,2.5727825816720724
73.962,0.5658634305000305,2.607786426320672
74.162,0.55210280418396,2.607786426320672
74.362,0.5502427816390991,2.607786426320672
74.562,0.5534902811050415,2.5727825816720724
74.763,0.5515121221542358,2.537778737023473
74.962,0.5422964096069336,2.5552806593477726
75.162,0.5433531403541565,2.4852729700505733
75.363,0.5446279048919678,2.502774892374873
75.562,0.5493627190589905,2.4677710477262735
75.762,0.5367426872253418,2.4852729700505733
75.962,0.548751950263977,2.4677710477262735
76.162,0.5374688506126404,2.4677710477262735
76.359,0.5458210706710815,2.4852729700505733
76.562,0.5388621687889099,2.502774892374873
76.762,0.5361050963401794,2.502774892374873
76.962,0.547271192073822,2.537778737023473
77.162,0.5299859046936035,2.537778737023473
77.362,0.5378430485725403,2.5902845039963722
77.562,0.5339906215667725,2.5727825816720724
77.763,0.5431065559387207,2.537778737023473
77.962,0.55147385597229,2.5727825816720724
78.162,0.5451075434684753,2.5902845039963722
78.362,0.5386064648628235,2.6427902709692717
78.562,0.5536760687828064,2.625288348644972
78.763,0.5478935837745667,2.712797960266471
78.962,0.5628705024719238,2.7302998825907707
79.162,0.5392223596572876,2.7478018049150705
79.362,0.5479974746704102,2.7478018049150705
79.562,0.5659785866737366,2.7478018049150705
79.763,0.547286868095398,2.8528133388608694
79.962,0.5549293160438538,2.8353114165365696
80.162,0.5695458054542542,2.870315261185169
80.362,0.5649169087409973,2.887817183509469
80.562,0.5675346255302429,2.9228210281580687
80.762,0.5719745755195618,2.9578248728066683
80.962,0.5667076110839844,3.0103306397795677
81.163,0.5594775080680847,3.0453344844281673
81.363,0.5617386698722839,3.062836406752467
81.562,0.5669515132904053,3.0453344844281673
81.762,0.5673076510429382,3.150346018373966
81.962,0.5609122514724731,3.150346018373966
82.162,0.562571108341217,3.2028517853468657
82.362,0.56315678358078,3.255357552319765
82.562,0.5706059336662292,3.255357552319765
82.763,0.5646557211875916,3.2903613969683647
82.962,0.5810642838478088,3.342867163941264
83.162,0.5636309385299683,3.360369086265564
83.362,0.5722730755805969,3.3953729309141636
83.562,0.5706835389137268,3.447878697887063
83.762,0.5699493885040283,3.3953729309141636
83.962,0.5680993795394897,3.552890231832862
84.162,0.5702953934669495,3.5178863871842623
