time,x,y,z,theta
1723992211.2098582,2.410859067936144e-09,-2.723854031216888e-08,0.0,0.08811759868797228
1723992211.2208583,-2.5210178137058392e-05,-2.2534891286341008e-06,0.0,0.08802390191438136
1723992211.4218583,2.5257833602410074e-09,-2.8536966567571653e-08,0.0,0.08766961029635577
1723992211.4558582,2.5257833602410074e-09,-2.8536966567571653e-08,0.0,0.08770203698849216
1723992211.5778582,2.5257833602410074e-09,-2.8536966567571653e-08,0.0,0.08789515533590998
1723992211.5968583,2.5257833602410074e-09,-2.8536966567571653e-08,0.0,0.0879468896177025
1723992211.7278583,2.5257833602410074e-09,-2.8536966567571653e-08,0.0,0.08793473594940879
1723992211.7618582,2.5257833602410074e-09,-2.8536966567571653e-08,0.0,0.08793401614528756
1723992211.9208581,2.5257833602410074e-09,-2.8536966567571653e-08,0.0,0.08790517275357913
1723992211.9258583,-2.521037640690338e-05,-2.251240857731318e-06,0.0,0.08795499629091462
1723992211.9608583,2.461941539522172e-09,-2.7812532721327443e-08,0.0,0.08796262658809384
1723992212.0618582,2.461941539522172e-09,-2.7812532721327443e-08,0.0,0.0876693721067989
1723992212.0958583,-5.0424234359525144e-05,-4.463073310034815e-06,0.0,0.08778834689514751
1723992212.1968582,1.6575016914543994e-09,-1.8657217992767983e-08,0.0,0.08803248496324641
1723992212.2298582,-2.521107489883434e-05,-2.2432968762586825e-06,0.0,0.08798122705640235
1723992212.3378582,1.768220569964285e-09,-1.9922651972592575e-08,0.0,0.08793211063986768
1723992212.3708582,1.768220569964285e-09,-1.9922651972592575e-08,0.0,0.0879516638605512
1723992212.4668581,1.768220569964285e-09,-1.9922651972592575e-08,0.0,0.08799195159605859
1723992212.4998581,1.768220569964285e-09,-1.9922651972592575e-08,0.0,0.08798265618392798
1723992212.5998583,1.768220569964285e-09,-1.9922651972592575e-08,0.0,0.08767366996660993
1723992212.6338582,1.768220569964285e-09,-1.9922651972592575e-08,0.0,0.08779573377037878
1723992212.7427392,1.768220569964285e-09,-1.9922651972592575e-08,0.0,0.08808255412850696
1723992212.7757392,1.768220569964285e-09,-1.9922651972592575e-08,0.0,0.08800959406959262
1723992212.872739,1.768220569964285e-09,-1.9922651972592575e-08,0.0,0.08795237098140869
1723992212.905739,1.768220569964285e-09,-1.9922651972592575e-08,0.0,0.08796453733361012
1723992213.0057392,1.768220569964285e-09,-1.9922651972592575e-08,0.0,0.08792256959812875
1723992213.0387392,1.768220569964285e-09,-1.9922651972592575e-08,0.0,0.08792924714213465
1723992213.1437392,1.768220569964285e-09,-1.9922651972592575e-08,0.0,0.08803152696718904
1723992213.1767392,1.768220569964285e-09,-1.9922651972592575e-08,0.0,0.08799052466919574
1723992213.2697392,1.768220569964285e-09,-1.9922651972592575e-08,0.0,0.08791089230575896
1723992213.3027391,1.768220569964285e-09,-1.9922651972592575e-08,0.0,0.08792758202882808
1723992213.408739,1.768220569964285e-09,-1.9922651972592575e-08,0.0,0.0881371444623547
1723992213.442739,1.768220569964285e-09,-1.9922651972592575e-08,0.0,0.0880532216769935
1723992213.5457392,1.768220569964285e-09,-1.9922651972592575e-08,0.0,0.08794856217482006
1723992213.579739,1.768220569964285e-09,-1.9922651972592575e-08,0.0,0.08795666884821857
1723992213.6747391,1.768220569964285e-09,-1.9922651972592575e-08,0.0,0.08798813754752487
1723992213.708739,1.768220569964285e-09,-1.9922651972592575e-08,0.0,0.08798026906232694
1723992213.810739,1.768220569964285e-09,-1.9922651972592575e-08,0.0,0.08795308554562127
1723992213.8447392,1.768220569964285e-09,-1.9922651972592575e-08,0.0,0.08795714522432956
1723992213.9397392,1.768220569964285e-09,-1.9922651972592575e-08,0.0,0.08816838022040302
1723992213.9737391,1.768220569964285e-09,-1.9922651972592575e-08,0.0,0.08805919210590235
1723992214.0687392,-2.5211076717823744e-05,-2.2432698187913047e-06,0.0,0.0878519966607221
1723992214.102739,1.9521113614473506e-09,-2.2002533128784307e-08,0.0,0.08789420258238728
1723992214.2127392,1.9521113614473506e-09,-2.2002533128784307e-08,0.0,0.08812142018447304
1723992214.2467391,-2.5210585590684786e-05,-2.2488361537398305e-06,0.0,0.08806634078203411
1723992214.339739,2.285091671438977e-09,-2.5774513190413018e-08,0.0,0.08782219527756992
1723992214.373739,2.285091671438977e-09,-2.5774513190413018e-08,0.0,0.08792424215468683
1723992214.4767392,2.285091671438977e-09,-2.5774513190413018e-08,0.0,0.088221548877601
1723992214.510739,2.285091671438977e-09,-2.5774513190413018e-08,0.0,0.08812951941469227
1723992214.612739,2.285091671438977e-09,-2.5774513190413018e-08,0.0,0.08784127212171638
1723992214.646739,-2.5210716557921842e-05,-2.2473573153547477e-06,0.0,0.0879299617067332
1723992214.748739,1.927675574719956e-09,-2.1728897792172575e-08,0.0,0.08816218429599132
1723992214.7827392,1.927675574719956e-09,-2.1728897792172575e-08,0.0,0.08809876003164972
1723992214.875739,1.927675574719956e-09,-2.1728897792172575e-08,0.0,0.08787512573775766
