time,x,y,z,theta
1723989438.3991227,1.2542031857520897e-09,-1.4528141356606739e-08,0.0,0.08617866199627428
1723989438.4321227,1.2542031857520897e-09,-1.4528141356606739e-08,0.0,0.08612585583721338
1723989438.5501227,1.2542031857520897e-09,-1.4528141356606739e-08,0.0,0.0860630248540976
1723989438.5741227,2.5218248993041925e-05,2.161248403353966e-06,0.0,0.08607494781657529
1723989438.7071228,9.965289704538804e-10,-1.1544560862830622e-08,0.0,0.08582640087587394
1723989438.7391226,9.965289704538804e-10,-1.1544560862830622e-08,0.0,0.0859314200223195
1723989438.8541226,9.965289704538804e-10,-1.1544560862830622e-08,0.0,0.08618557254375092
1723989438.8881228,9.965289704538804e-10,-1.1544560862830622e-08,0.0,0.08613717586137001
1723989439.0031228,9.965289704538804e-10,-1.1544560862830622e-08,0.0,0.08585917972911544
1723989439.0301228,9.965289704538804e-10,-1.1544560862830622e-08,0.0,0.08595096581381347
1723989439.1611228,9.965289704538804e-10,-1.1544560862830622e-08,0.0,0.086329934030104
1723989439.1931226,9.965289704538804e-10,-1.1544560862830622e-08,0.0,0.08623492714963754
1723989439.3071227,9.965289704538804e-10,-1.1544560862830622e-08,0.0,0.08592247965963624
1723989439.3421228,9.965289704538804e-10,-1.1544560862830622e-08,0.0,0.08601272490097564
1723989439.4471228,2.5217821530532092e-05,2.1662010567524703e-06,0.0,0.08628141825421706
1723989439.4801228,1.1995360260641519e-09,-1.3896714001759847e-08,0.0,0.08619927967518215
1723989439.5861228,1.1995360260641519e-09,-1.3896714001759847e-08,0.0,0.08598577959162737
1723989439.6201227,1.1995360260641519e-09,-1.3896714001759847e-08,0.0,0.08604490825003686
1723989439.7451227,1.1995360260641519e-09,-1.3896714001759847e-08,0.0,0.08636093153028968
1723989439.8871226,1.1995360260641519e-09,-1.3896714001759847e-08,0.0,0.08603692068083715
1723989439.9201226,1.1995360260641519e-09,-1.3896714001759847e-08,0.0,0.08607793041804764
