Time,Distance (m),Angle (rad)
95.966,0.6217870712280273,3.185349863022566
96.167,0.6200937628746033,3.1153421737253666
96.366,0.6226780414581299,3.167847940698266
96.566,0.6161144971847534,3.167847940698266
96.766,0.6138231754302979,3.1328440960496664
96.966,0.6270427107810974,3.1328440960496664
97.166,0.6159865260124207,3.167847940698266
97.366,0.6266046166419983,3.1153421737253666
97.566,0.6223655939102173,3.185349863022566
97.766,0.6194607019424438,3.150346018373966
97.966,0.616534411907196,3.150346018373966
98.167,0.6021472811698914,3.150346018373966
98.365,0.6367710828781128,3.167847940698266
98.565,0.5920543074607849,3.150346018373966
98.767,0.5657123923301697,3.1153421737253666
98.968,0.559434711933136,3.150346018373966
99.166,0.5753514766693115,3.1153421737253666
99.366,0.557944118976593,3.150346018373966
99.567,0.5597179532051086,3.097840251401067
99.766,0.568951427936554,3.1153421737253666
99.966,0.5611501932144165,3.062836406752467
100.166,0.576981782913208,3.0453344844281673
100.366,0.573028564453125,3.0278325621038675
100.566,0.5733166337013245,2.975326795130968
100.766,0.5523332953453064,2.9578248728066683
100.966,0.565045952796936,3.0103306397795677
101.166,0.5607349276542664,2.9403229504823685
101.365,0.5781441926956177,2.870315261185169
101.567,0.5644423365592957,2.887817183509469
101.768,0.5708929300308228,2.905319105833769
101.968,0.5680546760559082,2.887817183509469
102.166,0.5673024654388428,2.8353114165365696
102.366,0.5704185366630554,2.8528133388608694
102.567,0.5660449266433716,2.8353114165365696
102.766,0.5543677806854248,2.8353114165365696
102.965,0.5695242285728455,2.8528133388608694
103.167,0.566058337688446,2.7478018049150705
103.366,0.5539682507514954,2.81780949421227
103.564,0.5592982769012451,2.78280564956367
103.766,0.5575155019760132,2.7653037272393703
103.967,0.5423718094825745,2.7653037272393703
104.167,0.5605615377426147,2.7653037272393703
104.366,0.5710617899894714,2.695296037942171
104.566,0.5562842488288879,2.712797960266471
104.766,0.5574520826339722,2.6602921932935715
104.966,0.5588539838790894,2.695296037942171
105.166,0.5634348392486572,2.7478018049150705
105.368,0.548099160194397,2.6777941156178713
105.566,0.5581907033920288,2.6427902709692717
105.767,0.5670034289360046,2.6427902709692717
105.966,0.5519155859947205,2.695296037942171
106.166,0.5554102659225464,2.695296037942171
106.366,0.5541589856147766,2.607786426320672
106.567,0.5587717890739441,2.6777941156178713
106.766,0.5475095510482788,2.625288348644972
106.966,0.546370267868042,2.625288348644972
107.166,0.545569896697998,2.625288348644972
107.365,0.5558793544769287,2.5902845039963722
107.57,0.5430579781532288,2.5902845039963722
107.766,0.5535772442817688,2.5902845039963722
