Time,Distance (m),Angle (rad)
171.535,0.6182942390441895,3.1153421737253666
171.736,0.6195511817932129,3.1328440960496664
171.937,0.629420816898346,3.1328440960496664
172.136,0.62674480676651,3.150346018373966
172.336,0.6239344477653503,3.150346018373966
172.542,0.6156283020973206,3.097840251401067
172.742,0.5818625688552856,3.150346018373966
172.942,0.5433762669563293,3.1153421737253666
173.142,0.556102991104126,3.1328440960496664
173.342,0.5525874495506287,3.1328440960496664
173.542,0.5562940239906311,3.1328440960496664
173.743,0.5668366551399231,3.150346018373966
173.943,0.5671997666358948,3.1328440960496664
174.142,0.5708275437355042,3.1153421737253666
174.342,0.5679546594619751,3.150346018373966
174.542,0.5600663423538208,3.185349863022566
174.743,0.5751814246177673,3.1153421737253666
174.942,0.562063992023468,3.1328440960496664
175.145,0.5751500129699707,3.185349863022566
175.342,0.5787534117698669,3.1153421737253666
175.543,0.5751689076423645,3.1153421737253666
175.742,0.576055645942688,3.1328440960496664
175.942,0.5727633833885193,3.1328440960496664
176.142,0.5767958760261536,3.150346018373966
176.342,0.5607534646987915,3.1153421737253666
176.542,0.5650667548179626,3.1153421737253666
176.742,0.566568911075592,3.167847940698266
176.942,0.5663189888000488,3.150346018373966
177.142,0.5801612734794617,3.1153421737253666
177.342,0.5774839520454407,3.097840251401067
177.542,0.5705150365829468,3.1153421737253666
177.742,0.5707115530967712,3.150346018373966
177.942,0.5565503835678101,3.150346018373966
178.142,0.578588604927063,3.185349863022566
178.342,0.573287308216095,3.150346018373966
178.543,0.577768862247467,3.167847940698266
178.742,0.5667845010757446,3.1328440960496664
178.942,0.5692014098167419,3.1328440960496664
179.142,0.573231041431427,3.1153421737253666
179.342,0.577781081199646,3.1328440960496664
179.542,0.5780929923057556,3.1153421737253666
179.742,0.5747328996658325,3.167847940698266
179.942,0.55699223279953,3.167847940698266
180.142,0.5689340829849243,3.1153421737253666
180.343,0.5747714638710022,3.150346018373966
180.544,0.559960663318634,3.097840251401067
180.744,0.5642017126083374,3.1328440960496664
180.947,0.5648981332778931,3.167847940698266
181.142,0.5593036413192749,3.1328440960496664
181.342,0.5728018283843994,3.167847940698266
181.542,0.5704556703567505,3.167847940698266
